Living Type,House,Diet,How Often Water,Heating Energy Source,Transport,Buying Activity,Frequency Traveling Air,Waste Bag Weekly Count,Energy Efficiency,Recycling,Cooking With,Total,Vehicle Monthly Distance
yes,small,omnivore,3,electricity,public,10,5,1,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",25,678
yes,small,pescatarian,3,gas,gasoline,10,5,2,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",39,4269
yes,small,vegetarian,7,gas,bikewalk,5,5,3,No,"['Paper', 'Metal']",['Microwave'],12,65
yes,small,vegan,7,electricity,gasoline,5,10,4,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",70,353
yes,large,vegan,7,coal,gasoline,10,5,6,Yes,['Plastic'],['Oven'],98,5959
no,large,vegetarian,7,electricity,bikewalk,10,5,1,Yes,['Metal'],"['Oven', 'Grill', 'Airfryer']",-4,38
yes,large,omnivore,7,gas,gasoline,5,5,4,No,['Paper'],"['Stove', 'Grill', 'Airfryer']",100,4532
no,large,pescatarian,3,electricity,bikewalk,10,5,5,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",11,46
yes,large,omnivore,7,electricity,public,10,10,1,Yes,"['Paper', 'Plastic']",['Stove'],40,15
yes,small,vegan,7,gas,gasoline,5,10,1,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",66,3152
no,small,vegan,3,coal,bikewalk,10,10,1,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",19,51
no,small,vegetarian,7,electricity,gasoline,5,5,6,No,"['Plastic', 'Metal']",['Stove'],102,9839
no,small,omnivore,7,electricity,gasoline,5,5,7,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",78,8386
yes,large,vegetarian,7,gas,bikewalk,5,5,5,Yes,['Paper'],['Stove'],36,14
yes,small,omnivore,7,coal,bikewalk,10,5,6,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",60,73
yes,large,pescatarian,3,gas,public,10,5,7,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",45,1473
yes,small,pescatarian,7,coal,public,5,10,5,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",94,869
yes,large,vegetarian,7,coal,bikewalk,5,10,3,Yes,['Paper'],"['Oven', 'Microwave']",32,83
yes,small,omnivore,3,coal,gasoline,10,10,5,No,['Paper'],['Oven'],133,1413
no,small,vegan,3,electricity,public,10,10,4,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",41,519
no,large,vegan,3,gas,gasoline,5,5,2,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",53,1835
no,small,vegetarian,7,gas,bikewalk,10,10,5,No,"['Paper', 'Plastic', 'Glass']",['Oven'],62,96
yes,small,omnivore,7,gas,public,5,10,5,Yes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",56,1049
no,small,vegan,7,electricity,public,5,5,2,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",6,68
no,small,vegan,7,gas,public,5,10,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",86,535
yes,small,pescatarian,7,electricity,gasoline,5,10,6,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",90,4320
no,large,omnivore,7,gas,public,5,5,1,No,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",52,1706
yes,large,vegetarian,7,electricity,gasoline,10,5,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",52,1718
no,large,omnivore,7,gas,bikewalk,10,5,4,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",22,47
yes,small,vegetarian,7,gas,public,10,5,5,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",70,794
yes,small,pescatarian,3,electricity,public,10,10,5,Yes,['Glass'],['Oven'],51,104
no,large,vegetarian,3,gas,bikewalk,10,10,7,Yes,['Metal'],"['Grill', 'Airfryer']",51,20
no,large,vegan,7,gas,gasoline,10,5,2,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",70,6117
no,large,pescatarian,7,electricity,gasoline,5,10,7,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",114,1406
yes,large,vegan,3,gas,public,10,10,4,Yes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",39,582
yes,large,pescatarian,7,electricity,public,10,10,4,Yes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",34,736
yes,small,vegan,7,gas,public,10,5,6,No,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",54,1486
yes,small,vegetarian,7,coal,gasoline,10,5,3,Yes,['Plastic'],"['Stove', 'Microwave']",80,6296
yes,large,omnivore,3,gas,gasoline,10,10,1,No,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",105,4812
yes,small,omnivore,7,gas,gasoline,5,10,4,Yes,"['Plastic', 'Metal']",['Oven'],80,7768
no,large,vegetarian,7,gas,gasoline,10,10,3,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",88,1083
no,small,vegan,7,coal,gasoline,10,5,1,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",60,2644
yes,small,vegan,3,gas,public,5,5,6,No,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",55,952
no,small,omnivore,7,coal,gasoline,10,5,3,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",86,5209
yes,large,vegetarian,7,gas,bikewalk,10,10,6,No,"['Glass', 'Metal']","['Stove', 'Oven']",76,13
yes,large,vegan,7,gas,bikewalk,10,10,7,Yes,['Plastic'],"['Oven', 'Microwave']",44,40
no,large,vegan,7,gas,bikewalk,10,5,3,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",36,29
yes,large,vegan,7,gas,public,5,10,7,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",84,512
no,large,pescatarian,7,gas,public,10,5,2,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",30,1742
no,large,omnivore,7,coal,gasoline,10,5,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",112,6364
yes,large,omnivore,7,coal,public,10,10,2,Yes,"['Glass', 'Metal']",['Microwave'],46,317
no,large,pescatarian,3,gas,gasoline,10,5,5,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",85,6477
no,small,pescatarian,7,gas,public,10,5,1,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",48,709
no,small,vegan,3,electricity,gasoline,5,10,6,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",95,2188
yes,large,omnivore,3,electricity,bikewalk,5,5,7,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",35,28
yes,small,vegan,3,electricity,public,5,5,5,Yes,"['Paper', 'Metal']",['Stove'],29,1285
yes,small,pescatarian,7,electricity,bikewalk,10,5,1,Yes,['Glass'],['Stove'],-4,93
no,large,vegan,7,gas,public,5,5,6,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",46,980
no,large,vegan,7,gas,public,10,10,5,Yes,"['Paper', 'Plastic', 'Metal']",['Stove'],76,1514
no,large,pescatarian,7,electricity,public,10,5,1,No,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",40,1145
yes,small,pescatarian,7,gas,bikewalk,5,10,1,No,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",38,39
no,large,vegan,7,gas,gasoline,5,10,4,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],92,320
no,large,vegan,7,gas,public,5,5,4,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",36,1852
no,small,vegetarian,7,gas,bikewalk,5,10,3,Yes,[‘Paper'],['Oven'],26,19
yes,small,vegan,7,gas,hybrid,10,10,6,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",77,412
yes,large,pescatarian,3,gas,hybrid,5,5,3,Yes,"['Plastic', 'Glass']",['Oven'],24,4413
no,small,pescatarian,7,coal,hybrid,10,5,7,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",59,1407
no,large,pescatarian,7,gas,hybrid,5,5,1,No,"['Plastic', 'Glass', 'Metal']",['Oven'],41,316
yes,large,vegetarian,7,coal,hybrid,5,10,1,Yes,['Metal'],['Stove'],61,1844
no,small,pescatarian,3,electricity,hybrid,10,10,4,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",52,743
yes,small,vegetarian,7,coal,hybrid,10,10,5,No,"['Paper', 'Metal']",['Oven'],95,67
no,small,pescatarian,7,electricity,hybrid,5,10,4,Yes,['Metal'],"['Stove', 'Oven']",53,1231
yes,small,omnivore,7,gas,electric,10,5,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",26,937
yes,small,vegan,7,gas,electric,10,5,5,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",48,25
no,large,pescatarian,7,gas,electric,10,5,2,Yes,"['Paper', 'Glass']",['Microwave'],20,228
no,small,pescatarian,7,gas,electric,10,10,5,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",80,6386
no,large,pescatarian,7,electricity,electric,10,10,6,Yes,"['Glass', 'Metal']",['Oven'],64,62
yes,small,pescatarian,3,gas,electric,10,10,7,Yes,['Paper'],['Stove'],71,4689
no,large,vegan,7,gas,gasoline,10,5,4,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",96,5739
no,large,vegan,7,gas,bikewalk,5,10,6,Yes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",38,50
no,large,pescatarian,7,gas,public,10,5,3,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",44,445
yes,small,pescatarian,3,gas,bikewalk,10,10,2,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",9,61
no,large,vegan,7,gas,bikewalk,10,10,6,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",56,8
no,large,vegan,7,gas,public,10,10,7,No,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",82,1646
yes,large,vegetarian,3,gas,gasoline,5,10,6,Yes,['Glass'],['Stove'],111,6640
no,large,pescatarian,7,electricity,bikewalk,10,5,4,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",6,31
yes,large,omnivore,3,electricity,public,5,10,3,Yes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",37,529
no,large,vegetarian,7,gas,public,10,5,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",28,315
no,large,pescatarian,7,gas,bikewalk,10,5,2,No,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",24,19
yes,large,pescatarian,7,gas,public,5,10,7,Yes,['Metal'],['Oven'],68,959
yes,small,vegan,7,gas,gasoline,10,10,3,No,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",98,9345
no,large,omnivore,7,coal,bikewalk,10,5,7,Yes,"['Paper', 'Plastic', 'Metal']",['Microwave'],38,92
no,small,vegetarian,3,gas,gasoline,5,5,2,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",57,2129
yes,small,vegetarian,3,electricity,bikewalk,5,10,5,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",47,61
yes,small,vegetarian,3,gas,bikewalk,10,5,7,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",41,84
yes,small,vegetarian,3,gas,gasoline,5,10,5,Yes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",87,9940
no,large,omnivore,7,gas,public,10,10,4,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",66,1406
yes,large,pescatarian,7,gas,bikewalk,10,5,2,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],-6,82
no,large,omnivore,7,gas,gasoline,10,10,5,Yes,"['Paper', 'Plastic', 'Metal']",['Stove'],122,5030
no,small,pescatarian,3,gas,gasoline,10,10,5,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],99,668
no,small,vegetarian,7,gas,gasoline,10,10,2,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",86,3573
yes,large,omnivore,7,gas,gasoline,5,5,4,Yes,"['Paper', 'Plastic', 'Glass']",['Oven'],62,7189
yes,large,pescatarian,3,electricity,gasoline,10,10,6,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",103,7921
yes,small,vegan,3,coal,gasoline,10,5,3,Yes,['Plastic'],['Stove'],77,4543
yes,small,vegan,7,gas,gasoline,10,5,6,Yes,['Metal'],"['Stove', 'Microwave']",88,7150
yes,small,omnivore,7,gas,gasoline,5,10,1,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",74,9076
yes,large,omnivore,7,electricity,public,10,10,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",38,728
no,large,vegan,7,gas,public,10,5,4,No,"['Plastic', 'Glass']",['Stove'],60,1846
yes,small,omnivore,7,electricity,gasoline,10,10,6,No,"['Paper', 'Plastic']","['Grill', 'Airfryer']",114,1297
yes,large,omnivore,7,electricity,public,5,10,1,Yes,['Glass'],"['Oven', 'Microwave']",26,829
yes,small,pescatarian,7,electricity,bikewalk,5,5,7,No,['Glass'],['Microwave'],28,55
yes,large,vegetarian,7,gas,public,10,10,7,No,['Plastic'],['Oven'],90,1883
yes,large,omnivore,7,gas,public,10,5,2,Yes,['Metal'],['Oven'],24,463
no,large,vegan,7,gas,public,10,10,6,No,"['Plastic', 'Glass']",['Stove'],100,1601
yes,small,omnivore,7,gas,public,10,5,3,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",26,30
yes,small,vegetarian,7,gas,gasoline,10,5,7,No,['Paper'],"['Microwave', 'Grill', 'Airfryer']",100,2136
no,small,omnivore,3,coal,public,10,10,5,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",75,273
yes,small,vegetarian,3,gas,bikewalk,5,10,7,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",41,81
no,small,pescatarian,3,gas,public,10,10,7,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",73,1295
no,large,vegan,3,gas,public,5,5,1,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",15,1947
no,large,pescatarian,7,coal,public,5,10,7,Yes,['Paper'],['Microwave'],80,243
no,large,omnivore,7,coal,bikewalk,5,10,2,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",34,0
no,small,vegetarian,7,coal,hybrid,10,5,3,Yes,['Glass'],['Oven'],45,76
no,small,pescatarian,3,coal,hybrid,10,5,6,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",68,922
yes,small,vegan,7,gas,hybrid,10,10,7,No,"['Paper', 'Metal']",['Oven'],83,30
yes,large,vegetarian,7,gas,hybrid,10,5,5,Yes,['Plastic'],"['Stove', 'Microwave']",61,396
yes,large,pescatarian,7,electricity,hybrid,5,5,5,No,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",69,1894
no,large,omnivore,7,gas,hybrid,10,10,4,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",87,9787
yes,large,vegan,7,gas,hybrid,10,10,3,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",55,4211
no,small,vegan,7,gas,hybrid,10,10,2,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",61,37
yes,large,omnivore,7,coal,electric,10,5,4,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",64,4628
yes,small,vegan,7,coal,electric,10,10,2,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",48,1249
yes,large,vegetarian,7,gas,electric,10,10,7,Yes,['Paper'],['Oven'],70,5744
no,large,pescatarian,7,gas,electric,10,5,4,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",60,18
no,small,vegan,7,coal,electric,5,5,1,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",16,1958
no,large,pescatarian,7,electricity,electric,10,10,2,Yes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",34,74
yes,large,omnivore,3,gas,bikewalk,10,10,6,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",55,36
yes,small,pescatarian,7,gas,bikewalk,10,5,4,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",36,24
yes,small,pescatarian,7,gas,bikewalk,5,10,2,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",14,77
no,small,vegan,7,gas,public,5,10,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",48,1402
no,small,pescatarian,7,gas,gasoline,5,5,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",60,3051
no,large,omnivore,7,coal,public,10,5,7,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",68,201
no,small,omnivore,7,gas,public,10,5,6,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",60,1274
no,large,omnivore,7,coal,bikewalk,5,5,1,No,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",46,95
no,large,vegetarian,3,coal,bikewalk,10,5,6,No,['Plastic'],"['Stove', 'Microwave']",67,32
yes,small,omnivore,3,gas,public,10,10,5,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",71,481
no,small,omnivore,3,gas,gasoline,5,10,2,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",97,4431
yes,large,pescatarian,7,gas,gasoline,5,10,2,Yes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",84,8288
yes,large,vegetarian,7,gas,bikewalk,10,10,7,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",48,74
yes,small,vegetarian,7,gas,bikewalk,10,5,6,Yes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",12,12
no,small,vegetarian,7,gas,public,10,5,7,No,"['Paper', 'Glass', 'Metal']",['Microwave'],58,689
yes,large,vegetarian,7,electricity,public,10,5,7,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],32,1915
no,small,vegetarian,7,electricity,public,10,5,1,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",12,577
yes,small,omnivore,3,gas,gasoline,10,10,2,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",79,4673
no,small,vegan,7,coal,public,5,10,1,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave'],32,272
no,large,omnivore,7,gas,gasoline,5,10,2,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",74,3361
no,large,vegetarian,7,coal,bikewalk,10,10,5,Yes,['Paper'],"['Grill', 'Airfryer']",66,15
no,large,pescatarian,3,gas,gasoline,10,5,5,No,"['Paper', 'Plastic', 'Glass']",['Oven'],105,6754
no,large,vegan,3,electricity,gasoline,10,10,1,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],71,5485
no,large,vegetarian,3,coal,bikewalk,10,10,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",29,58
yes,large,omnivore,3,gas,public,10,10,2,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],27,1160
no,small,omnivore,7,coal,public,10,5,4,No,"['Paper', 'Plastic', 'Metal']",['Microwave'],52,1497
yes,small,pescatarian,7,electricity,bikewalk,10,5,5,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",8,70
yes,small,vegetarian,7,electricity,gasoline,10,10,3,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",76,2750
no,small,pescatarian,3,gas,gasoline,10,5,4,Yes,['Metal'],['Microwave'],63,5220
no,large,omnivore,3,coal,gasoline,5,5,5,No,"['Paper', 'Metal']","['Oven', 'Microwave']",113,987
yes,large,vegetarian,7,coal,gasoline,10,10,6,No,"['Paper', 'Glass', 'Metal']",['Oven'],132,1312
no,small,omnivore,7,gas,bikewalk,10,10,4,Yes,[‘Paper'],['Oven'],34,11
no,large,pescatarian,3,gas,public,10,5,6,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave']",45,996
yes,small,vegetarian,7,electricity,bikewalk,10,10,2,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2,75
yes,small,pescatarian,7,electricity,public,5,5,2,No,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",28,8
yes,small,vegan,7,electricity,public,10,10,6,Yes,['Metal'],['Stove'],62,1047
no,small,vegetarian,7,gas,public,10,10,5,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",68,1433
no,large,vegan,3,gas,gasoline,10,10,3,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",101,242
yes,large,omnivore,7,gas,gasoline,5,10,2,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave']",72,9598
no,small,omnivore,7,gas,public,10,5,2,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",26,1735
yes,small,pescatarian,7,gas,gasoline,10,5,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",80,867
yes,small,vegetarian,7,coal,public,10,10,6,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",72,1091
no,small,vegan,7,gas,gasoline,10,5,2,Yes,"['Glass', 'Metal']",['Oven'],54,9169
no,large,omnivore,3,coal,gasoline,10,10,1,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",95,5286
yes,large,vegan,7,gas,public,10,5,1,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",40,447
no,large,omnivore,7,coal,public,10,5,5,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",76,189
yes,small,vegan,7,electricity,public,10,5,2,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",-10,89
yes,small,omnivore,7,coal,gasoline,10,10,4,Yes,['Metal'],"['Oven', 'Microwave']",94,9025
no,large,vegan,7,coal,gasoline,5,10,6,Yes,"['Paper', 'Plastic', 'Glass']",['Oven'],112,6946
no,small,vegetarian,7,electricity,gasoline,10,10,6,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",88,4007
yes,large,vegetarian,3,gas,bikewalk,10,10,2,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",7,35
yes,large,pescatarian,3,electricity,gasoline,10,10,7,No,['Plastic'],"['Stove', 'Grill', 'Airfryer']",127,2763
yes,small,vegetarian,7,coal,gasoline,10,10,1,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",76,9300
no,small,pescatarian,7,gas,bikewalk,10,5,3,No,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",28,67
yes,large,vegetarian,3,electricity,gasoline,10,5,7,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",71,2555
no,small,vegetarian,3,gas,public,10,10,2,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",49,165
yes,small,vegetarian,7,coal,bikewalk,5,5,4,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",12,53
no,large,vegetarian,7,gas,bikewalk,10,5,7,Yes,"['Plastic', 'Glass']",['Stove'],42,52
no,small,pescatarian,7,gas,gasoline,5,5,4,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",76,8728
yes,large,vegetarian,7,gas,gasoline,10,10,7,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",110,9686
no,large,omnivore,7,electricity,bikewalk,10,5,1,No,"['Plastic', 'Glass']",['Stove'],26,51
yes,large,vegetarian,7,electricity,bikewalk,10,5,2,Yes,['Paper'],['Stove'],0,4
no,small,omnivore,7,electricity,gasoline,5,5,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",64,6041
yes,large,vegetarian,7,coal,gasoline,10,5,6,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",92,792
yes,small,pescatarian,7,coal,gasoline,5,10,6,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",130,6179
no,large,vegan,7,electricity,gasoline,5,10,5,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",102,6458
no,small,omnivore,7,electricity,gasoline,5,5,3,No,"['Paper', 'Glass', 'Metal']",['Oven'],72,3657
no,small,vegan,7,electricity,bikewalk,5,10,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",56,25
yes,large,vegan,7,gas,gasoline,10,10,3,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",80,5201
no,large,vegetarian,3,gas,public,10,5,5,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",53,1110
yes,small,pescatarian,3,gas,gasoline,10,5,2,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",51,1354
yes,large,vegetarian,3,gas,bikewalk,10,5,5,No,"['Paper', 'Metal']","['Stove', 'Oven']",51,94
no,small,pescatarian,7,gas,public,10,5,3,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",48,1617
yes,large,vegan,7,electricity,bikewalk,10,5,3,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",4,69
yes,large,vegetarian,7,electricity,gasoline,10,5,4,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",64,9580
yes,large,vegan,7,coal,gasoline,10,10,3,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",108,1969
no,large,pescatarian,7,gas,gasoline,10,5,7,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",116,2877
no,large,omnivore,3,coal,gasoline,10,5,7,No,['Plastic'],['Microwave'],121,9486
no,large,omnivore,7,gas,gasoline,10,10,6,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",138,6031
no,small,omnivore,3,gas,bikewalk,5,5,3,No,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",31,84
yes,large,vegan,3,electricity,gasoline,5,10,3,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",71,2772
no,large,vegan,7,gas,public,10,5,7,No,['Plastic'],"['Grill', 'Airfryer']",74,1360
